date_hour,trip_count
2009-01-13 04,3
2009-01-13 05,2
2009-01-13 06,13
2009-01-13 07,17
2009-01-13 08,30
2009-01-13 09,20
2009-01-13 10,30
2009-01-13 11,31
2009-01-13 12,13
2009-01-13 13,20
2009-01-13 14,23
2009-01-13 15,17
2009-01-13 16,11
2009-01-13 17,28
2009-01-13 18,29
2009-01-13 19,31
2009-01-13 20,24
2009-01-13 21,24
2009-01-13 22,17
2009-01-13 23,16
2009-01-14 00,15
2009-01-14 01,4
2009-01-14 02,5
2009-01-14 03,4
2009-01-14 04,3
2009-01-14 05,3
2009-01-14 06,15
2009-01-14 07,17
2009-01-14 08,45
2009-01-14 09,31
2009-01-14 10,23
2009-01-14 11,24
2009-01-14 12,19
2009-01-14 13,18
2009-01-14 14,17
2009-01-14 15,18
2009-01-14 16,17
2009-01-14 17,26
2009-01-14 18,37
2009-01-14 19,29
2009-01-14 20,24
2009-01-14 21,28
2009-01-14 22,24
2009-01-14 23,15
2009-01-15 00,11
2009-01-15 01,6
2009-01-15 02,5
2009-01-15 03,7
2009-01-15 04,1
2009-01-15 05,3
2009-01-15 06,12
2009-01-15 07,19
2009-01-15 08,24
2009-01-15 09,22
2009-01-15 10,18
2009-01-15 11,19
2009-01-15 12,32
2009-01-15 13,16
2009-01-15 14,14
2009-01-15 15,15
2009-01-15 16,20
2009-01-15 17,25
2009-01-15 18,33
2009-01-15 19,20
2009-01-15 20,31
2009-01-15 21,43
2009-01-15 22,24
2009-01-15 23,21
2009-01-16 00,22
2009-01-16 01,11
2009-01-16 02,7
2009-01-16 03,4
2009-01-16 04,5
2009-01-16 05,5
2009-01-16 06,12
2009-01-16 07,26
2009-01-16 08,35
2009-01-16 09,21
2009-01-16 10,20
2009-01-16 11,34
2009-01-16 12,18
2009-01-16 13,28
2009-01-16 14,18
2009-01-16 15,23
2009-01-16 16,19
2009-01-16 17,23
2009-01-16 18,26
2009-01-16 19,29
2009-01-16 20,46
2009-01-16 21,31
2009-01-16 22,34
2009-01-16 23,40
2009-01-17 00,33
2009-01-17 01,13
2009-01-17 02,11
2009-01-17 03,15
2009-01-17 04,4
2009-01-17 05,6
2009-01-17 06,1
2009-01-17 07,9
2009-01-17 08,10
2009-01-17 09,12
2009-01-17 10,15
2009-01-17 11,24
2009-01-17 12,31
2009-01-17 13,23
2009-01-17 14,21
2009-01-17 15,17
2009-01-17 16,29
2009-01-17 17,29
2009-01-17 18,27
2009-01-17 19,15
2009-01-17 20,23
2009-01-17 21,30
2009-01-17 22,36
2009-01-17 23,35
2009-01-18 00,30
2009-01-18 01,30
2009-01-18 02,15
2009-01-18 03,12
2009-01-18 04,8
2009-01-18 05,2
2009-01-18 06,5
2009-01-18 07,4
2009-01-18 08,4
2009-01-18 09,12
2009-01-18 10,10
2009-01-18 11,11
2009-01-18 12,18
2009-01-18 13,11
2009-01-18 14,22
2009-01-18 15,19
2009-01-18 16,22
2009-01-18 17,18
2009-01-18 18,12
2009-01-18 19,18
2009-01-18 20,15
2009-01-18 21,29
2009-01-18 22,17
2009-01-18 23,19
2009-01-19 00,11
2009-01-19 01,14
2009-01-19 02,6
2009-01-19 03,7
2009-01-19 04,4
2009-01-19 05,4
2009-01-19 06,7
2009-01-19 07,7
2009-01-19 08,15
2009-01-19 09,11
2009-01-19 10,14
2009-01-19 11,12
2009-01-19 12,12
2009-01-19 13,13
2009-01-19 14,12
2009-01-19 15,21
2009-01-19 16,26
2009-01-19 17,17
2009-01-19 18,20
2009-01-19 19,14
